Month,China,Europe,RestOfWorld,USA
1,29095470709,28069591732,31727319483,33623934680
2,30712177879,29878958540,32706607696,30315772125
3,40184671375,35905439625,36162445419,34790373881
4,34360377026,32151462281,28098274379,30817752247
5,32234774377,31355181027,32387538818,29374100799
6,36396050337,35401132293,37531232345,38493151956
7,32388296851,30827529083,29933057210,31241592039
8,30777607893,32482372986,31623438763,28347854843
9,35319077041,33882183656,36443697685,35188301195
10,31415137367,27978908794,31523473162,30693449427
11,31881409618,31163097075,28635498753,32941285363
12,36989970010,39783095509,34298450893,33486721873
